00:25.946  render           | Fra: 5 | Mem: 0M | Synchronizing object | Orbita principal
00:25.946  render           | Fra: 5 | Mem: 0M | Initializing
00:25.948  render           | Fra: 5 | Mem: 0M | Waiting for render to start
00:25.948  render           | Fra: 5 | Mem: 0M | Updating Scene
00:25.948  render           | Fra: 5 | Mem: 0M | Updating Shaders
00:25.948  render           | Fra: 5 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:25.949  render           | Fra: 5 | Mem: 1M | Updating Procedurals
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Background
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Scene Attribute
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Camera
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Meshes Flags
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Objects
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Objects | Copying Transformations to device
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Particle Systems
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Meshes
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Objects | Applying Static Transformations
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Scene BVH | Building
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Scene BVH | Building BVH
00:25.951  render           | Fra: 5 | Mem: 1M | Updating Scene BVH | Building BVH 0%
00:25.956  render           | Fra: 5 | Mem: 1M | Updating Scene BVH | Copying BVH to device
00:25.956  render           | Fra: 5 | Mem: 1M | Updating Mesh | Computing attributes
00:25.956  render           | Fra: 5 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:25.956  render           | Fra: 5 | Mem: 2M | Updating Mesh | Computing normals
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Mesh | Copying Mesh to device
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Objects Flags
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Primitive Offsets
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Images
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Volume
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Camera Volume
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Lookup Tables
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Lights
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Lights | Computing tree
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Integrator
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Film
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Lookup Tables
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Baking
00:25.957  render           | Fra: 5 | Mem: 2M | Updating Device | Writing constant memory
00:25.957  render           | Fra: 5 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:25.957  render           | Fra: 5 | Mem: 2M | Sample 0/12
00:26.335  render           | Fra: 5 | Remaining: 00:04.15 | Mem: 26M | Sample 1/12
